name,hansard_key,education_level,education_field,alma_maters,prior_occupation,occupation_category,source_url
Gilles Bisson,gilles bisson,unknown,,,"Labour union organizer, Ontario Federation of Labour",trades-labour,https://en.wikipedia.org/wiki/Gilles_Bisson
France Gélinas,france gélinas,unknown,physiotherapy,,"Physiotherapist, health care administrator",health,https://en.wikipedia.org/wiki/France_Gélinas
Andrea Horwath,andrea horwath,bachelor,labour studies,McMaster University,Community organizer; literacy and legal-aid advocacy,NGO-advocacy,https://en.wikipedia.org/wiki/Andrea_Horwath
Peter Tabuns,peter tabuns,unknown,political science,York University,,unknown,https://en.wikipedia.org/wiki/Peter_Tabuns
Michael Prue,michael prue,graduate,Canadian studies,University of Toronto; Carleton University,Civil servant,public-service,https://en.wikipedia.org/wiki/Michael_Prue
John Yakabuski,john yakabuski,unknown,,,Hardware store owner; real estate sales representative,business,https://en.wikipedia.org/wiki/John_Yakabuski
Catherine Fife,catherine fife,unknown,,Wilfrid Laurier University,Research coordinator,education,https://en.wikipedia.org/wiki/Catherine_Fife
Cheri DiNovo,cheri dinovo,graduate,divinity,York University; Centennial College; Emmanuel College; University of Toronto,United Church of Canada minister,other,https://en.wikipedia.org/wiki/Cheri_DiNovo
Bill Walker,bill walker,unknown,,,Health-care executive,business,https://en.wikipedia.org/wiki/Bill_Walker_(Canadian_politician)
Norm Miller,norm miller,unknown,,,Airline pilot,other,https://en.wikipedia.org/wiki/Norm_Miller_(politician)
Lisa MacLeod,lisa macleod,bachelor,political science,Francis Xavier University; St. Francis Xavier University,Political aide,public-service,https://en.wikipedia.org/wiki/Lisa_MacLeod
Peter Kormos,peter kormos,professional,law,Niagara College; York University; Osgoode Hall; Osgoode Hall Law School,Lawyer,law,https://en.wikipedia.org/wiki/Peter_Kormos
Kathleen Wynne,kathleen o. wynne,graduate,linguistics; adult education,Queen's University; University of Toronto; Ontario Institute for Studies in Education,,unknown,https://en.wikipedia.org/wiki/Kathleen_Wynne
Vic Fedeli,victor fedeli,college,visual communications,Conestoga College; Nipissing University,Advertising agency founder,business,https://en.wikipedia.org/wiki/Vic_Fedeli
Ernie Hardeman,ernie hardeman,unknown,,,Business owner,business,https://en.wikipedia.org/wiki/Ernie_Hardeman
Yasir Naqvi,yasir naqvi,professional,law,McMaster University; University of Ottawa Law School; Carleton University; University of Ottawa Faculty of Law,Lawyer,law,https://en.wikipedia.org/wiki/Yasir_Naqvi
Paul Miller,paul miller,unknown,,,"Mechanic, Lobbyist, Local politician",trades-labour,https://en.wikipedia.org/wiki/Paul_Miller_(Canadian_politician)
John O'Toole,john o'toole,bachelor,arts,University of Toronto,Business manager,business,https://en.wikipedia.org/wiki/John_O'Toole
Toby Barrett,toby barrett,graduate,agriculture,University of Guelph; Ontario Agricultural College,Farmer; business administrator; agriculture teacher,agriculture,https://en.wikipedia.org/wiki/Toby_Barrett
Jennifer French,jennifer k. french,graduate,science education,Queen's University,Teacher,education,https://en.wikipedia.org/wiki/Jennifer_French_(politician)
Peggy Sattler,peggy sattler,graduate,educational policy,McMaster University; Western University; University of Western Ontario,Policy analyst,other,https://en.wikipedia.org/wiki/Peggy_Sattler
Rosario Marchese,rosario marchese,bachelor,arts; education,University of Toronto,Teacher,education,https://en.wikipedia.org/wiki/Rosario_Marchese
Percy Hatfield,percy hatfield,bachelor,political science,University of Windsor,Journalist,communications-PR-journalism,https://en.wikipedia.org/wiki/Percy_Hatfield
Dalton McGuinty,dalton mcguinty,professional,law,McMaster University; Harvard University; University of Ottawa; University of Ottawa Faculty of Law,Lawyer,law,https://en.wikipedia.org/wiki/Dalton_McGuinty
Ted Arnott,ted arnott,bachelor,political science,Wilfrid Laurier University,,unknown,https://en.wikipedia.org/wiki/Ted_Arnott
Bob Delaney,bob delaney,graduate,physics; business administration,Concordia University; Simon Fraser University,IT consultant,business,https://en.wikipedia.org/wiki/Bob_Delaney_(politician)
John Vanthof,john vanthof,unknown,,,"Dairy farmer; president, Temiskaming Federation of Agriculture",agriculture,https://en.wikipedia.org/wiki/John_Vanthof
Laurie Scott,laurie scott,college,nursing,Loyalist College,Registered nurse,health,https://en.wikipedia.org/wiki/Laurie_Scott_(politician)
Howard Hampton,howard hampton,professional,law,Dartmouth College; University of Toronto; University of Ottawa; University of Ottawa Faculty of Law,Lawyer,law,https://en.wikipedia.org/wiki/Howard_Hampton
Todd Smith,todd smith,college,broadcasting,Loyalist College,"Politician, radio broadcaster",communications-PR-journalism,https://en.wikipedia.org/wiki/Todd_Smith_(politician)
Wayne Gates,wayne gates,unknown,,,Unifor local president,trades-labour,https://en.wikipedia.org/wiki/Wayne_Gates
Gila Martow,gila martow,professional,optometry,University of Waterloo School,Optometrist,health,https://en.wikipedia.org/wiki/Gila_Martow
Sylvia Jones,sylvia jones,college,radio broadcasting,Fanshawe College,Executive assistant to the PC party leader,public-service,https://en.wikipedia.org/wiki/Sylvia_Jones
Tim Hudak,tim hudak,graduate,economics,University of Western Ontario; University of Washington,,unknown,https://en.wikipedia.org/wiki/Tim_Hudak
Lisa Thompson,lisa m. thompson,bachelor,agriculture,University of Guelph,"General manager, Ontario Dairy Goat Cooperative; rural community advisor, OMAFRA",agriculture,https://en.wikipedia.org/wiki/Lisa_Thompson_(politician)
Teresa Armstrong,teresa j. armstrong,unknown,,,Insurance broker,business,https://en.wikipedia.org/wiki/Teresa_Armstrong
Garfield Dunlop,garfield dunlop,unknown,,University of Waterloo,Businessman,business,https://en.wikipedia.org/wiki/Garfield_Dunlop
Jeff Leal,jeff leal,bachelor,economics and political science,Trent University; University of Windsor,Executive assistant to MPPs,public-service,https://en.wikipedia.org/wiki/Jeff_Leal
Deb Matthews,deborah matthews,graduate,social demography,University of Western Ontario,,unknown,https://en.wikipedia.org/wiki/Deb_Matthews
Steve Clark,steve clark,unknown,,,,unknown,https://en.wikipedia.org/wiki/Steve_Clark_(Canadian_politician)
Kevin Flynn,kevin daniel flynn,unknown,,,Small business owner,business,https://en.wikipedia.org/wiki/Kevin_Flynn_(politician)
