id,text
bp_20230511_t11774w0,"Thank you, Mr. Speaker. The resolution I am putting before the House today asks the government to take immediate action to protect the health and well-being of New Brunswickers in the aftermath of the COVID-19 pandemic. Nobody in this room needs to be reminded what that pandemic did to our communities, to our families, to our economy. The question is what we learned from it. Are we better prepared today for the next public health crisis than we were for that one? I do not believe we are, and that is why this resolution matters. The Public Health Act is the cornerstone of how this province responds to a pandemic, and it is badly in need of updating. RSV, for one — the Act needs to speak to RSV. And it needs a mechanism for adding further illnesses to the ones Public Health tracks, so that we are not back here amending the Act every time something new shows up. What we need is a system that is agile and resilient and able to respond to new and emerging threats. Getting there takes a multifaceted approach: investment in public health infrastructure, in resources, in personnel. You cannot ask a system to carry a province through a crisis if it does not have the staff or the funding to do it. We need public health education and awareness campaigns too, so that people are informed and can act to protect their own health and the health of others. And the response has to be equitable and inclusive, Mr. Speaker. Seniors, people with underlying health conditions, marginalized communities — they are hit disproportionately, every time, and the response has to be tailored to what they actually need, with the resources and supports to keep them safe and healthy. I ask all members to support this resolution. Amend the Public Health Act. Put comprehensive strategies in place. Be ready next time."
bp_20231205_t14931w2,"And then there is how nursing home workers were treated under Premier Higgs. He took them to court. He told them they could go to Alberta if they wanted better wages. That is not a negotiating strategy, Madam Deputy Speaker — that is a betrayal of the people who look after the most vulnerable among us. There was no empathy in it, and no thought given to the people doing that work on the front lines. Then we had the school strike. Sixteen days, and it ended with emergency orders forcing workers back on the job. What does that say about this government's commitment to real dialogue, or about the right to strike? You cannot call that a fair and balanced negotiation. Watering down binding arbitration. Scab-friendly legislation. This pension bill we are still arguing about. It is a pattern, and every piece of it chips away at workers' rights. That is not the kind of just and equitable society we say we want, one that respects the people who do the work. The decisions we make in this Chamber land on people's livelihoods and on the health of our communities, so we had better scrutinize them. Fairness. Respect. The right to bargain on an equal footing. Those are the values at stake, and the way forward is collaborative, constructive dialogue where workers actually get heard. Madam Deputy Speaker, you will remember the unions and how vehemently they disagreed with the wage-freeze mandate this government brought in — the 0% mandate, in its early years. And this was in a global pandemic, when our frontline workers were nothing short of heroes. What they gave up deserved acknowledgement and it deserved real support. As the union leaders put it, these heroes deserved more than zeroes."
bp_20231205_t14931w4,"of its citizens using tactics that undercut basic fairness. Taking nursing home workers to court, and then telling them to go to Alberta if they want better wages — that was regrettable, Mr. Speaker, and it told you everything about a government that had lost touch with its own people. There was a choice there. The Premier could have sat down and talked. He chose confrontation instead. Then came the offer of binding arbitration with conditions. Conditions. That was not arbitration, it was a way to cap what the workers could ask for before they ever got in the room, and it dodged the legitimate concerns those workers were bringing forward. And 10.5¢ an hour. That is what he would not go past. Ten and a half cents, for the people who look after our parents and our grandparents. That is not just unfair. It says he did not understand what those workers are worth to this province. Then, in the middle of a heated exchange with protesters, he said, ""if you want that kind of wage, then Alberta's where to get it."" That is dismissive, and it ignores what workers in New Brunswick are up against here at home. Rather than deal with the issue in front of him, the Premier deflected. His responsibility is to the people of New Brunswick, and we will remind him of that as many times as it takes. He also claimed that fair wages would not fix the staffing shortages in our nursing homes. He is wrong. A fair wage is justice for the worker, yes, and it is also how you recruit and keep people in these jobs. The Premier did not treat this as urgent and he did not sit down with those workers in any meaningful way."
bp_20240507_t16123w0,"Mr. Speaker, I want to congratulate two authors from L'nui Menikuk, also known as Indian Island First Nation. Margaret Augustine and Lauren Beck have put out a cookbook called Mitji — Let's Eat!: Mi'kmaq Recipes from Sikniktuk. Mr. Speaker, calling it a cookbook undersells it. The recipes come with the history and the lived experience of a community that has been on these lands for generations, and that is the part that stays with you when you read it. The two of them also take on gastrocolonialism, which is the way colonial policy went into Indigenous kitchens and changed traditional recipes. That is not a small thing to write about, and they wrote about it well. The people of Mi'gma'gi have a rich heritage and a resilient spirit, and this book carries both. I would ask all members to join me in congratulating Margaret Augustine and Lauren Beck for the work they are doing to keep Indigenous culinary traditions alive."
bp_20240516_t16835w0,"Thank you, Mr. Speaker. I want to talk about labour relations in this province, because I do not think we are in a good place on it. Workers need it to work. So does the economy. What we have seen from the Higgs government over the last few years is a pattern, and it is not a good one. When there is a labour issue, this government does not go to the table. It comes in here and passes a law. Bill 23 in 2022. Bill 17 last fall. The essential service legislation we debated back in December 2019. Three times, Mr. Speaker. Three separate occasions where the choice was made to legislate inside this Chamber instead of sitting down with workers and their representatives and working it out. Do that without proper consultation and you get exactly what we have got — more tension, and a wider gap between the government and the people who do the work. The amendments to the Public Service Labour Relations Act. The change to the essential service legislation, which was controversial and everybody knew it was going to be. Every one of those was a chance to build some trust with the labour movement, and every one of those chances went by. What you build instead is the opposite of trust, and you cannot run a workplace without it. People feel it out there. Workers are discouraged. Morale is down. That shows up in what our industries produce and in how people are doing, and the whole province wears it."
bp_20240516_t16835w1,"Mr. Speaker, the strain on labour relations in this province is not something anybody can pretend away anymore. It is hanging over every effort we make together to build prosperity in New Brunswick. And if we are going to deal with it honestly, we have to admit that the legislative approach this government took has fallen short. Going forward, it has to be real dialogue, it has to be transparency, and it has to be respect both ways when we sit down with workers and the people who represent them. Trust is the thing. Build that, and everybody's interests get taken seriously. Skip it, and they do not.

Go back to December 2019, Mr. Speaker. This Legislature was in the middle of a very ugly debate over the essential service legislation, and what it came down to was the wages of nursing home workers. Bill 17. That bill put conditions on how labour arbitrators could rule on those wages. The reaction was intense. Members of the New Brunswick Council of Nursing Home Unions came out against it. They were worried about what it would do to their ability to strike and to bargain a fair wage, and they said so loudly. Nobody was in any doubt about how deep that discontent ran.

The bill passed anyway. Union leaders called it what they thought it was — an attack on public-sector labour unions. Sharon Teare, President of the New Brunswick Council of Nursing Home Unions, said their voice would not be silenced. She meant it. They kept fighting for better working conditions and for the rights of nursing home workers, and those workers do valuable work in this society.

Bill 17 showed the tension between this government and labour, especially around labour rights and collective bargaining. It is not a simple balance. Workers on one side, taxpayers and the government's fiscal responsibility on the other. But when we look back at December 2019 and that bill, let us not forget that there are people sitting in government right now who opposed it. They said so out loud. They said they would stand with the labour movement as long as they could. That has changed today."
bp_20251024_t178w1,"Madam Speaker, let me walk members through what this one does. Right now the Act says you cannot have quorum for the executive committee unless a particular deputy head is in the room — the deputy head whose mandate has a direct impact on the economy — or their delegate. And here is the wrinkle. That individual does not even vote. The structure was put in there to keep economic alignment right across government, which is a fine goal. What has happened in practice is scheduling headaches, and decisions sitting and waiting because the required deputy head could not be there. The amendment before us is straightforward. Change the quorum requirement so that a simple majority of the voting members present is quorum for the executive committee. That is already how it works for the board of directors. We made a similar amendment to this Act in 2021 to simplify the board's definition of quorum, so this makes the two consistent. I should note what is not changing. The composition of the executive committee stays the same. So does the participation of the deputy head whose mandate has a direct impact on the economy. That person is a valued contributor to the committee's work and remains one. All this does is let the committee meet and conduct its business without unnecessary disruption. In a fast-paced economic environment, being able to act swiftly and effectively is essential. Streamline the quorum requirement and Opportunities New Brunswick is better positioned to deliver programs, to respond to emerging opportunities, and to support the businesses that drive growth in our province. It is a small, practical piece of legislation, Madam Speaker, the kind that keeps an agency working. Administrative, yes. But it will have a meaningful benefit for operational continuity. I encourage all members to support this amendment to the Opportunities New Brunswick Act. A modest step, and an important one, so that Opportunities New Brunswick can keep fulfilling its mandate — growth, investment and opportunity for all New Brunswickers. Thank you, Madam Speaker."
bp_20251105_t632w0,"Madam Speaker, on November 11 we stop and we remember. We remember the men and women who served this country in war, in conflict and in peacekeeping, and the ones who are still serving today. Their courage, their sacrifice, their sense of duty — that is what kept the freedom and the values we have now. We remember the families too, the ones who carried the separation and carried the grief. We remember the veterans who came home changed by what they did. I will say that again, Madam Speaker, because it matters: the families who carried the burden of separation and loss, and the veterans who came home forever changed by their service. When we gather at the cenotaphs and the memorials across New Brunswick this year, let us renew the commitment. To peace. To gratitude. To never forgetting the ones who gave everything for Canada. Lest we forget. Lest we forget."
bp_20251105_t690w1,"I want to start with the good in this bill, because there is some. It clears out language that should have gone years ago and puts plain English where the legal Latin used to be. That sounds like housekeeping, but clarity matters. It also makes it simpler for brewers and distillers to sell at approved farmers' markets, which is something our small producers here have been asking for a long time. A microbrewery or a craft distillery being able to stand at the Saint Andrews farmers' market, or the St. George market, or the market in St. Stephen, and sell to a customer face to face — that brings tourists in, it encourages people to start something of their own, and the money stays local. I applaud that part of the bill, Madam Speaker. The sector has taken off in this province and the bill recognizes it. Modernizing is fine. Modernizing without scrutiny is not. The bill sets production caps: 500 000 L for brewers and 75 000 L for distillers, when they are operating as agents under the New Brunswick Liquor Corporation. On the face of it those look like fair numbers. Who were they worked out with, though? Our smaller producers, or mainly the larger operators? And does a cap set at that level end up favouring the people already established, so a start-up has a harder time growing into the next tier? We have watched this happen before. A well-intentioned regulatory change turns out to suit the outfits with deeper pockets and more connections, while the small owner is dealing with compliance costs and waiting on a licence. Craft producers in St. Croix and elsewhere put their life savings into a brewery or a distillery, and what they say to me is simple enough: we do not mind rules, we just want fair ones. So my question to the government is this. How will fairness between small and large producers be ensured under this new licencing model?"
bp_20251106_t803w1,"Picture a family. Nothing unusual about them. A quiet town, could be yours, could be mine. Their boy is bright, doing well, everything ahead of him. Then he gets hurt — an injury, or surgery, and there is a prescription for the pain, and that is where it starts. The pills stop being medicine after a while. They become a crutch. Then a necessity. Then the whole of it. I will call him Alex. School goes first, then the friendships, then whatever he used to think of himself. One day he is gone. Left home. He is out at the encampments on the edge of town, the ones in the woods, under the bridges, on lots nobody has used in twenty years, where getting through the day means finding the next fix. Now think about his mother and father. They are wrecked, and they go out anyway, every day, without fail. They bring sandwiches, fruit, water. They bring clean clothes — jackets, socks, blankets, because the nights are cold. They walk in among the tents and the clusters of people and they call his name. Alex, it is Mom and Dad. We are here for you. They look at every face for something they recognize. Nobody answers. Not that day, not the next one. They show his picture to strangers and ask if anyone has seen him. Weeks of that, then months of it. They do not sleep. Is he safe. Is he alive. Has it taken him already. They hold on to each other and keep going. They know what the numbers say about overdoses, about the people who do not come back. They hold on to hope anyway. It is the only thing they have got."
