seg_id,date,speaker,section,n_words,orig_frac,n_tok,logppl,xppl,score
SE#members_statement:Bill 23 and the integrity of:0,synthetic-2026,SYNTHETIC,members_statement,175,1.0,216,1.8697,2.50738,0.74568
SE#qp_question:Bill 23 and the integrity of:0,synthetic-2026,SYNTHETIC,qp_question,138,1.0,168,1.94915,2.54078,0.76715
SE#ministers_statement:Bill 23 and the integrity of:0,synthetic-2026,SYNTHETIC,ministers_statement,229,1.0,275,1.80149,2.44894,0.73562
SE#debate_response:Bill 23 and the integrity of:0,synthetic-2026,SYNTHETIC,debate_response,182,1.0,228,1.6183,2.56555,0.63078
SE#members_statement:the 2026-27 capital budget o:0,synthetic-2026,SYNTHETIC,members_statement,193,1.0,252,1.4303,2.31345,0.61825
SE#qp_question:the 2026-27 capital budget o:0,synthetic-2026,SYNTHETIC,qp_question,118,1.0,162,1.9663,2.70677,0.72644
SE#ministers_statement:the 2026-27 capital budget o:0,synthetic-2026,SYNTHETIC,ministers_statement,236,1.0,304,1.60071,2.41862,0.66183
SE#debate_response:the 2026-27 capital budget o:0,synthetic-2026,SYNTHETIC,debate_response,165,1.0,219,1.70134,2.63744,0.64507
SE#members_statement:the Nursing Home Without Wal:0,synthetic-2026,SYNTHETIC,members_statement,181,1.0,212,1.6515,2.38085,0.69366
SE#qp_question:the Nursing Home Without Wal:0,synthetic-2026,SYNTHETIC,qp_question,96,1.0,112,2.03678,2.59214,0.78575
SE#ministers_statement:the Nursing Home Without Wal:0,synthetic-2026,SYNTHETIC,ministers_statement,228,1.0,290,1.78155,2.55396,0.69756
SE#debate_response:the Nursing Home Without Wal:0,synthetic-2026,SYNTHETIC,debate_response,155,1.0,191,1.59354,2.53039,0.62976
SE#members_statement:addiction treatment and ment:0,synthetic-2026,SYNTHETIC,members_statement,195,1.0,242,1.80756,2.57766,0.70124
SE#qp_question:addiction treatment and ment:0,synthetic-2026,SYNTHETIC,qp_question,82,1.0,97,2.01163,2.74853,0.73189
SE#ministers_statement:addiction treatment and ment:0,synthetic-2026,SYNTHETIC,ministers_statement,210,1.0,257,1.61302,2.41267,0.66856
SE#debate_response:addiction treatment and ment:0,synthetic-2026,SYNTHETIC,debate_response,200,1.0,242,1.54372,2.3956,0.6444
SE#members_statement:the property assessment free:0,synthetic-2026,SYNTHETIC,members_statement,171,1.0,214,1.92993,2.64238,0.73038
SE#qp_question:the property assessment free:0,synthetic-2026,SYNTHETIC,qp_question,105,1.0,128,2.11804,2.81025,0.75368
SE#ministers_statement:the property assessment free:0,synthetic-2026,SYNTHETIC,ministers_statement,196,1.0,242,1.67735,2.38017,0.70472
SE#debate_response:the property assessment free:0,synthetic-2026,SYNTHETIC,debate_response,202,1.0,257,1.67171,2.5212,0.66306
SE#members_statement:school bus breakdowns and st:0,synthetic-2026,SYNTHETIC,members_statement,148,1.0,190,1.80786,2.61773,0.69062
SE#qp_question:school bus breakdowns and st:0,synthetic-2026,SYNTHETIC,qp_question,111,1.0,131,1.82006,2.69446,0.67548
SE#ministers_statement:school bus breakdowns and st:0,synthetic-2026,SYNTHETIC,ministers_statement,239,1.0,280,1.57117,2.51851,0.62385
SE#debate_response:school bus breakdowns and st:0,synthetic-2026,SYNTHETIC,debate_response,173,1.0,217,1.56648,2.4272,0.64539
SE#members_statement:the Mactaquac dam refurbishm:0,synthetic-2026,SYNTHETIC,members_statement,185,1.0,248,1.53993,2.34125,0.65774
SE#qp_question:the Mactaquac dam refurbishm:0,synthetic-2026,SYNTHETIC,qp_question,102,1.0,135,1.98786,2.65533,0.74863
SE#ministers_statement:the Mactaquac dam refurbishm:0,synthetic-2026,SYNTHETIC,ministers_statement,229,1.0,295,1.61162,2.43429,0.66205
SE#debate_response:the Mactaquac dam refurbishm:0,synthetic-2026,SYNTHETIC,debate_response,201,1.0,263,1.49567,2.30525,0.64881
SE#members_statement:thanking firefighters after :0,synthetic-2026,SYNTHETIC,members_statement,191,1.0,249,1.63643,2.57199,0.63625
SE#qp_question:thanking firefighters after :0,synthetic-2026,SYNTHETIC,qp_question,102,1.0,120,1.87507,2.70272,0.69377
SE#ministers_statement:thanking firefighters after :0,synthetic-2026,SYNTHETIC,ministers_statement,230,1.0,274,1.6248,2.52099,0.64451
SE#debate_response:thanking firefighters after :0,synthetic-2026,SYNTHETIC,debate_response,173,1.0,208,1.84728,2.58137,0.71562
SE#members_statement:Diwali celebrations in New B:0,synthetic-2026,SYNTHETIC,members_statement,187,1.0,245,1.46215,2.09302,0.69859
SE#qp_question:Diwali celebrations in New B:0,synthetic-2026,SYNTHETIC,qp_question,85,1.0,104,2.03352,2.57413,0.78998
SE#ministers_statement:Diwali celebrations in New B:0,synthetic-2026,SYNTHETIC,ministers_statement,194,1.0,241,2.00931,2.5972,0.77365
SE#debate_response:Diwali celebrations in New B:0,synthetic-2026,SYNTHETIC,debate_response,159,1.0,209,1.68249,2.63398,0.63876
SE#members_statement:National Police Week and com:0,synthetic-2026,SYNTHETIC,members_statement,169,1.0,217,1.54243,2.33655,0.66013
SE#qp_question:National Police Week and com:0,synthetic-2026,SYNTHETIC,qp_question,77,1.0,86,2.39366,2.72827,0.87735
SE#ministers_statement:National Police Week and com:0,synthetic-2026,SYNTHETIC,ministers_statement,213,1.0,262,1.59095,2.38074,0.66826
SE#debate_response:National Police Week and com:0,synthetic-2026,SYNTHETIC,debate_response,212,1.0,241,1.4511,2.38256,0.60905
