blind_id,sid,group,justification,common_good,respect,constructiveness,evidence,ai_guess
S000,2026-03-25#t2346w0,B_ai,0,1,1,0,2,25
S001,2026-05-06#t2666w0,B_human,2,2,1,1,2,5
S002,2019-11-27#t232w4,ctl2019,3,1,1,0,3,5
S003,2019-12-12#t400w0,ctl2019,2,1,2,1,2,3
S004,2024-03-22#t15720w11,cand_ai,1,1,0,1,0,85
S005,2025-12-05#t1622w0,B_human,1,1,1,1,1,20
S006,2023-05-10#t11631w7,cand_human,2,2,1,1,2,40
S007,2026-05-07#t2847w1,B_human,3,1,2,2,3,5
S008,2019-12-12#t300w0,ctl2019,2,1,1,1,1,3
S009,2025-12-02#t1317w0,B_human,1,1,0,1,2,3
S010,2025-12-11#t1806w0,B_human,3,1,1,2,3,20
S011,2026-05-13#t3076w2,B_ai,3,2,2,2,2,45
S012,2019-05-10#t30w0,cand_human,2,2,1,1,3,20
S013,2025-11-04#t575w0,cand_human,1,1,0,0,2,5
S014,2025-10-22#t102w16,B_human,3,1,2,0,3,12
S015,2026-03-26#t2552w4,cand_human,2,1,2,1,0,3
S016,2019-11-27#t261w5,ctl2019,3,1,2,1,2,5
S017,2026-03-24#t2318w3,B_human,2,1,1,0,3,8
S018,2026-05-05#t2572w0,cand_human,2,1,1,1,2,40
S019,2025-10-24#t112w0,cand_ai,2,1,1,1,3,50
S020,2025-10-28#t231w0,cand_human,1,1,1,1,0,10
S021,2026-05-08#t2991w0,cand_human,2,1,1,0,3,5
S022,2026-03-26#t2472w0,B_human,1,1,1,1,3,15
S023,2025-12-02#t1316w0,B_human,2,1,0,0,3,8
S024,2019-11-27#t230w13,cand_human,1,1,1,0,0,25
S025,2026-03-24#t2323w3,B_human,2,1,1,1,1,20
S026,2023-11-03#t13954w0,cand_human,1,1,1,1,3,20
S027,2025-11-05#t615w0,B_human,1,1,1,1,3,5
S028,2019-11-27#t261w8,ctl2019,2,1,2,1,2,12
S029,2024-05-16#t16835w0,cand_ai,3,2,1,1,3,55
S030,2019-12-12#t302w0,ctl2019,2,0,1,1,2,4
S031,2025-11-07#t858w0,cand_human,2,1,1,1,2,25
S032,2025-10-30#t509w4,cand_ai,2,2,1,2,0,40
S033,2019-11-27#t138w0,ctl2019,3,2,1,2,3,10
S034,2019-11-27#t155w0,ctl2019,2,1,0,1,1,3
S035,2019-12-12#t406w1,ctl2019,3,2,2,2,1,3
S036,2026-03-24#t2322w8,B_human,3,2,1,2,3,3
S037,2026-05-08#t2891w0,B_human,2,0,1,1,2,30
S038,2025-12-02#t1342w0,B_human,3,2,1,1,2,8
S039,2019-11-27#t140w0,ctl2019,2,1,0,0,2,6
S040,2025-12-05#t1622w1,cand_human,2,2,0,2,3,5
S041,2025-11-04#t546w0,cand_human,0,1,1,0,3,20
S042,2025-11-07#t896w0,B_human,2,1,1,0,2,3
S043,2025-11-07#t912w0,cand_human,2,1,1,2,2,12
S044,2026-03-25#t2389w0,B_human,3,2,1,2,3,3
S045,2025-10-24#t119w0,cand_ai,2,2,1,2,3,25
S046,2025-12-05#t1595w0,cand_human,2,1,0,1,2,3
S047,2019-11-27#t238w11,ctl2019,3,2,1,2,3,5
S048,2026-03-24#t2246w0,B_human,0,1,1,0,3,12
S049,2023-12-05#t14931w2,cand_ai,3,2,1,1,3,55
S050,2024-06-04#t17361w0,cand_ai,1,1,1,1,3,35
S051,2026-03-24#t2318w10,B_human,2,1,1,0,3,5
S052,2025-10-30#t511w0,cand_human,2,2,1,2,3,10
S053,2025-10-22#t81w0,B_human,2,1,0,0,1,5
S054,2025-10-28#t213w0,cand_human,2,2,1,2,2,40
S055,2019-11-27#t187w0,ctl2019,0,0,1,0,0,2
S056,2026-05-07#t2830w5,cand_ai,3,2,1,2,1,55
S057,2026-05-05#t2616w0,B_human,2,0,1,0,3,10
S058,2025-11-18#t1002w0,B_human,3,2,1,1,2,5
S059,2023-11-23#t14342w6,cand_ai,3,2,1,2,3,55
S060,2025-11-06#t766w0,B_human,1,1,1,1,1,5
S061,2025-12-03#t1439w0,cand_human,3,2,2,2,2,5
S062,2023-05-10#t11631w2,cand_ai,3,2,1,1,1,20
S063,2025-11-18#t1014w2,B_human,2,1,0,1,1,3
S064,2019-12-12#t361w1,ctl2019,3,1,2,2,3,3
S065,2025-12-04#t1466w0,cand_ai,2,1,1,0,3,30
S066,2026-03-24#t2311w0,B_human,3,1,2,2,2,5
S067,2023-10-26#t13579w0,cand_human,3,2,1,2,3,40
S068,2026-05-06#t2700w0,B_human,2,1,1,0,3,20
S069,2025-12-03#t1441w0,cand_ai,2,1,2,1,1,70
S070,2026-05-08#t2948w0,cand_ai,2,1,1,1,1,40
S071,2026-05-07#t2871w4,cand_ai,3,2,1,2,3,70
S072,2025-12-11#t1802w0,B_human,2,1,1,0,3,15
S073,2023-06-09#t12644w5,cand_human,2,1,2,1,1,5
S074,2025-10-29#t327w0,B_human,1,0,0,0,0,5
S075,2019-11-27#t230w9,ctl2019,2,2,1,2,3,25
S076,2025-11-21#t1269w0,B_human,2,0,0,0,2,5
S077,2025-12-11#t1859w0,cand_ai,2,2,1,1,2,35
S078,2025-11-07#t915w0,B_human,2,1,2,1,3,20
S079,2025-12-03#t1396w0,cand_ai,2,2,1,1,2,35
S080,2025-11-20#t1215w1,B_human,2,1,1,1,2,4
S081,2025-10-30#t491w0,cand_human,2,0,1,1,0,3
S082,2025-12-04#t1550w1,cand_ai,3,2,1,2,3,55
S083,2023-12-05#t14931w1,cand_ai,2,1,0,0,2,35
S084,2019-12-12#t330w0,ctl2019,1,1,1,0,2,3
S085,2026-05-07#t2832w1,B_human,3,2,2,2,3,15
S086,2026-05-14#t3171w0,B_human,2,1,1,0,2,5
S087,2026-05-14#t3160w0,cand_ai,2,2,1,2,2,35
S088,2026-03-25#t2453w3,B_human,3,1,1,1,3,15
S089,2026-05-07#t2871w5,cand_human,3,1,1,0,3,55
S090,2025-11-18#t951w0,cand_human,1,1,1,1,1,10
S091,2019-11-27#t267w8,ctl2019,1,1,1,2,2,3
S092,2026-03-25#t2355w0,cand_human,2,2,1,2,3,25
S093,2019-05-10#t81w0,ctl2019,3,1,0,0,3,8
S094,2024-05-16#t16835w1,cand_ai,3,2,2,1,3,40
S095,2025-11-21#t1271w0,B_human,2,2,0,0,2,7
S096,2023-05-10#t11631w3,cand_ai,3,2,0,1,1,30
S097,2026-03-24#t2322w9,B_human,3,2,1,1,2,12
S098,2025-12-03#t1430w0,B_human,2,1,1,2,2,8
S099,2025-12-02#t1358w0,cand_human,1,2,1,2,3,25
S100,2026-03-18#t2135w12,B_ai,3,2,1,2,2,50
S101,2026-05-05#t2615w0,B_human,3,2,1,1,2,10
S102,2026-03-18#t2064w0,B_human,2,1,1,0,3,10
S103,2026-03-24#t2320w1,B_human,3,1,2,2,2,5
S104,2025-11-05#t690w1,B_ai,3,2,2,1,2,25
