series,window_or_date,metric,closed_reference,open_model_or_finding,lag_months,uncertainty,source_quality,source,caveats
eci,2023-01..2025-10,Epoch Capabilities Index gap,closed frontier (published),open-weight frontier,3,90% CI 1.1-5.3 months (~7 ECI pts; CI 0-14),primary (Epoch),"Epoch AI data insight 2025-10-30, 'Open-weight models lag state-of-the-art by around 3 months on average', https://epoch.ai/data-insights/open-weights-vs-closed-weights-models","Epoch's own caveat: frontier open models (gpt-oss-120b, MiniMax-M2) lacked ECI evaluations at the time, so gap may be overstated"
eci,2026-01..2026-05,Epoch Capabilities Index gap,closed frontier (published),open-weight frontier,4,~8 ECI points (bootstrap),primary (Epoch),"Epoch AI data insight 2026-05-29, 'Open models lag state-of-the-art closed models by 4 months', https://epoch.ai/data-insights/open-closed-eci-gap","Epoch frames this as a slight widening vs the 3-month finding; series short and noisy - no exponential fit"
benchmark_parity,2020-05..2022-05,explicit replication attempt,GPT-3 (2020-05-28),OPT-175B (Meta; arXiv 2022-05-02),23,n/a,secondary framing over primary dates,"Cottier, 'The replication and emulation of GPT-3', Rethink Priorities 2022 (cited in Epoch's Nov-2024 open-models report), https://rethinkpriorities.org/publications/the-replication-and-emulation-of-gpt-3","the 23-month framing is Cottier's; Epoch's own benchmark measurement of the same era is the BLOOM row below"
benchmark_parity,2020-05..2022-07,MMLU score parity,GPT-3,BLOOM-176B,25,n/a,primary (Epoch),"Epoch AI, 'How far behind are open models?' 2024-11-04, https://epoch.ai/blog/open-models-report","Epoch's largest measured lag in that report; report's overall finding verbatim: once-frontier capabilities reached by open models with 'a lag of about one year'; benchmark lags 5-22 months"
benchmark_parity,2024 (recent-years summary),benchmark suite,best closed LLMs,best open LLMs,12,5-22 months across benchmarks,primary (Epoch),"Epoch AI, 'How far behind are open models?' 2024-11-04, https://epoch.ai/blog/open-models-report","'about one year' is the report's own summary wording (NOT 'centers around one year'); largest open models also lag ~15 months in training compute"
arena,2024-07-23,LM Arena rank,GPT-4-Turbo-level (frontier until 2024-05),Llama-3.1-405B enters at #5 ahead of GPT-4-Turbo,3,rank-based; no exact Elo pair pinned,mixed (HF summary of Arena result),"Hugging Face post summarizing Chatbot Arena result, https://huggingface.co/posts/m-ric/755951686477118","~3 months to the just-vacated frontier score; ~16 months vs original GPT-4 (2023-03); rank not score parity"
arena,2024-12-30,LM Arena rank,o1 (joint #1),DeepSeek-V3 #7 - only open model in top-10,7,rank-based,primary (lmarena post),"@lmarena_ai 2024-12-30, https://x.com/lmarena_ai/status/1873695386323566638","lag vs o1-preview (2024-09-12) ~3.5 months to top-10 entry; V3 not at #1 parity"
arena,2025-01-24,LM Arena rank,o1 (2024-12-05; o1-preview 2024-09-12),DeepSeek-R1 debuts #3 tied with o1; tied #1 Hard Prompts w/ Style Control,2,2-4.5 months depending on o1-preview vs o1 baseline,secondary (InfoQ Feb-2025; primary lmarena post not retrieved),"InfoQ, https://www.infoq.com/news/2025/02/deepseek-r1-release/","SECONDARY-SOURCED - pull the primary lmarena announcement before publication; Arena score ~1357-1360"
aa_index,2025-04..2026-04,Artificial Analysis Intelligence Index gap,Claude 3.7 Sonnet (Reasoning) 35 -> GPT-5.5 60,DeepSeek V3-0324 22 -> best open 54,n/a,gap 13 pts (2025-04) -> 6 pts (2026-04),primary (Artificial Analysis),"Artificial Analysis, 'Recent open weights model launches', 2026-04-30, https://artificialanalysis.ai/articles/recent-open-weights-model-launches","index-point gap not a time lag; AA's caveat: gap 'remains wide on the hardest reasoning and agentic coding evaluations' (HLE, CritPt, TerminalBench Hard)"
consumer_gpu,2025-08-15,frontier capability on one consumer GPU,absolute LLM frontier,models runnable on RTX 5090 (<$2500),9,6-12 months,primary (Epoch),"Epoch AI data insight 2025-08-15, 'Frontier AI capabilities can be run at home within a year or less', https://epoch.ai/data-insights/consumer-gpu-model-gap","Epoch's caveats: small open models more benchmark-optimized ('real-world lag may be somewhat longer'); assumes 8K context"
