file,source,chamber,stratum,arm,seg_id,date,speaker,n_words,genre,regime_flag,pangram,fraction_ai,version,prior_p3
ansctl000,expansion,NSW,ctl,chamber,NSWLA2019-10-16#t282w0,2019-10-16,Mr PAUL SCULLY,192,,,Human,0.0,4.0,
ansctl001,expansion,NSW,ctl,chamber,NSWLA2016-05-05#t27w0,2016-05-05,Mr JOHN SIDOTI,314,,,Human,0.0,4.0,
ansctl002,expansion,NSW,ctl,chamber,NSWLA2010-08-31#t54w0,2010-08-31,Mr MICHAEL DALEY,307,,,Human,0.0,4.0,
ansctl003,expansion,NSW,ctl,chamber,NSWLA2008-06-05#t51w0,2008-06-05,Mr ALLAN SHEARAN,310,,,Human,0.0,4.0,
ansctl004,expansion,NSW,ctl,chamber,NSWLA2007-10-26#t19w0,2007-10-26,Mr GRANT McBRIDE,359,,,Human,0.0,4.0,
ansctl005,expansion,NSW,ctl,chamber,NSWLA2019-10-23#t230w0,2019-10-23,Ms JANELLE SAFFIN,226,,,Human,0.0,4.0,
ansctl006,expansion,NSW,ctl,chamber,NSWLA2008-11-28#t5w11,2008-11-28,Mr MICHAEL RICHARDSON,212,,,Human,0.0,4.0,
ansctl007,expansion,NSW,ctl,chamber,NSWLA2015-10-22#t188w0,2015-10-22,Mr LEE EVANS,282,,,Human,0.0,4.0,
ansctl008,expansion,NSW,ctl,chamber,NSWLA2006-10-27#t2w0,2006-10-27,Mr NEVILLE NEWELL,313,,,Human,0.0,4.0,
ansctl009,expansion,NSW,ctl,chamber,NSWLA2017-03-30#t167w2,2017-03-30,Mr ALEX GREENWICH,171,,,Human,0.0,4.0,
ansctl010,expansion,NSW,ctl,chamber,NSWLA2006-09-27#t26w0,2006-09-27,Mr ALEX McTAGGART,319,,,Human,0.0,4.0,
ansctl011,expansion,NSW,ctl,chamber,NSWLC2008-06-25#t180w2,2008-06-25,Mr IAN COHEN,331,,,Human,0.0,4.0,
ansctl012,expansion,NSW,ctl,chamber,NSWLC2018-10-18#t34w0,2018-10-18,The Hon. JOHN GRAHAM,298,,,Human,0.0,4.0,
ansctl013,expansion,NSW,ctl,chamber,NSWLA2008-04-01#t109w0,2008-04-01,Mr JOHN AQUILINA,134,,,Human,0.0,4.0,
ansctl014,expansion,NSW,ctl,chamber,NSWLA2019-11-13#t22w1,2019-11-13,Ms FELICITY WILSON,300,,,Human,0.0,4.0,
ansctl015,expansion,NSW,ctl,chamber,NSWLA2009-12-02#t118w0,2009-12-02,Mr GREG SMITH,292,,,Human,0.0,4.0,
ansctl016,expansion,NSW,ctl,chamber,NSWLC2010-12-02#t110w1,2010-12-02,The Hon. ROBYN PARKER,162,,,Human,0.0,4.0,
ansctl017,expansion,NSW,ctl,chamber,NSWLA2007-05-30#t81w1,2007-05-30,Mr ANDREW FRASER,205,,,Human,0.0,4.0,
ansctl018,expansion,NSW,ctl,chamber,NSWLA2009-09-02#t8w9,2009-09-02,Mr KEVIN HUMPHRIES,308,,,Human,0.0,4.0,
ansctl019,expansion,NSW,ctl,chamber,NSWLA2017-06-21#t170w1,2017-06-21,Mr CHRIS PATTERSON,309,,,Human,0.0,4.0,
ansctl020,expansion,NSW,ctl,chamber,NSWLC2009-06-04#t98w0,2009-06-04,The Hon. IAN MACDONALD,160,,,Human,0.0,4.0,
ansctl021,expansion,NSW,ctl,chamber,NSWLC2009-03-11#t111w2,2009-03-11,The Hon. KAYEE GRIFFIN,208,,,Human,0.0,4.0,
ansctl022,expansion,NSW,ctl,chamber,NSWLA2017-11-16#t0w9,2017-11-16,Mr MATT KEAN,327,,,Human,0.0,4.0,
ansctl023,expansion,NSW,ctl,chamber,NSWLA2006-03-02#t2w3,2006-03-02,Mr PAUL LYNCH,347,,,Human,0.0,4.0,
ansctl024,expansion,NSW,ctl,chamber,NSWLA2017-08-08#t155w3,2017-08-08,Ms YASMIN CATLEY,284,,,Human,0.0,4.0,
ansctl025,expansion,NSW,ctl,chamber,NSWLA2007-10-18#t2w1,2007-10-18,Mr GREG SMITH,309,,,Human,0.0,4.0,
ansctl026,expansion,NSW,ctl,chamber,NSWLA2015-08-05#t239w0,2015-08-05,Mr ADAM CROUCH,272,,,Human,0.0,4.0,
ansctl027,expansion,NSW,ctl,chamber,NSWLC2009-03-24#t89w0,2009-03-24,The Hon. MICHAEL GALLACHER,254,,,Human,0.0,4.0,
ansctl028,expansion,NSW,ctl,chamber,NSWLA2018-08-08#t151w0,2018-08-08,Mr GREG APLIN,331,,,Human,0.0,4.0,
ansctl029,expansion,NSW,ctl,chamber,NSWLA2015-09-09#t211w1,2015-09-09,Mr CLAYTON BARR,346,,,Human,0.0,4.0,
ansctl030,expansion,NSW,ctl,chamber,NSWLC2017-03-29#t157w2,2017-03-29,The Hon. PETER PRIMROSE,231,,,Human,0.0,4.0,
ansctl031,expansion,NSW,ctl,chamber,NSWLA2019-11-14#t178w0,2019-11-14,Ms WENDY LINDSAY,261,,,Human,0.0,4.0,
ansctl032,expansion,NSW,ctl,chamber,NSWLC2007-05-30#t86w1,2007-05-30,The Hon. TREVOR KHAN,340,,,Human,0.0,4.0,
ansctl033,expansion,NSW,ctl,chamber,NSWLC2015-10-15#t28w0,2015-10-15,The Hon. TREVOR KHAN,224,,,Human,0.0,4.0,
