id,text
gs000,"Madam Speaker, for generations, Canadian citizenship has been a symbol of pride, opportunity and belonging. It has been the envy of the world, a beacon of hope for those seeking freedom, safety and a better life. Countries around the globe have looked to Canada as a model for how to build a fair, compassionate and principled immigration system, but today, that reputation is destroyed. After a decade of Liberal government, Canadians are rightly concerned, not because of the newcomers who arrive here with hope in their hearts and a desire to contribute, but because of a government that has mismanaged our immigration system, neglected its responsibilities and introduced policies that dilute the very value of Canadian citizenship. In Kitchener Centre, residents are deeply frustrated by the federal government's failure to manage the international student program. What was once a pathway to great Canadian education has become a cautionary tale of neglect and mismanagement. Let us be clear. This failure is not the fault of our citizens or the students who came here in good faith. It is the government that failed to protect the integrity of our education system, and now our community is left to deal with the consequences. Many first- and second-generation immigrants in Kitchener have shared with me at their doors their deep frustration with the federal government's failed immigration policies. These are individuals and families who came to Canada with hope, worked hard, followed the rules and built lives rooted in contribution and community. Now they feel their reputations are being unfairly tarnished by a government that allowed this system to spiral into dysfunction. They deserve better than to be lumped in with the consequences of Liberal mismanagement. They deserve a government that honours their commitment and protects the integrity of Canadian citizenship. Let me be clear that this is not the fault of immigrants. It is the fault of a government that has broken the system. While the Liberals broke it, Conservatives will fix it."
gs001,"Mr. Speaker, I will be sharing my time with the member for Milton East—Halton Hills South. I am pleased to rise today to speak against this motion and in support of broadcasting systems that continue to invest in Canadian workers, Canadian creativity and Canadian economic growth. Despite the rhetoric we have heard today, this debate is not truly about the so-called streaming tax. In fact, it is about whether the global streaming giants, which earn substantial revenues from Canadian audiences, should contribute in a fair and reasonable way to the Canadian broadcasting and production ecosystem from which they benefit. That principle is neither radical nor new. For decades, companies participating in Canada's broadcasting system have contributed financially to the creation and presentation of the Canadian programming on which they rely. Those contributions helped build one of the most respected production sectors in the world. Today, Canada is internationally recognized as a major centre for film, television, animation and documentary production, in addition to digital and interactive media. Talented Canadians from coast to coast to coast work on productions viewed around the globe. Our studios are full, our crews are world-class, and our creators are winning international awards. This success did not happen by accident. It happened because successive governments and regulators understood that Canadian stories and Canadian production capacity matter economically, as well as culturally. The motion before the House, in my opinion, ignores that reality. It frames contributions to Canadian programming as though they are simply a burden or a penalty, but these contributions are investments. They are investments in jobs, infrastructure, intellectual property, skills development and economic activity across this country. Not only that, but expenditures on Canadian programming are not a punishment. They are not being asked to shovel money into a bottomless pit. We are asking them to invest in some of the best programming in the world. We are asking them to continue to make some of the great shows that we talked about here today: Shoresy, Heated Rivalry and North of North. We want more of that. They cannot argue that the programming being made in Canada is unworthy of their services."
gs002,"Safety cannot begin only after harm has occurred. It must be built into the system itself. Proactive and preventative measures save lives. Bill C-16 is one part of how we do better. It is not the only solution, but it is a necessary one. It reflects evidence, it reflects lived experience, and it reflects a commitment to ensuring that victim safety is not an afterthought but a priority. We are here not to accept violence as a fact of life but to prevent it where we can, respond to it where we must and ensure that it never goes unanswered, because we know that harm is predictable, and we also know that it is preventable. We owe that responsibility to survivors, to families and to communities across this country that deserve to feel safe in their homes and in their lives, and that is why I support the protecting victims act."
gs003,"If one operator is indemnified and another is not, the indemnified operator enjoys a powerful competitive advantage. Its risk profile drops, its financing costs fall, and its tolerance for failure increases. Its competitor, facing full commercial exposure, is placed at a structural disadvantage. Nothing in this bill would require indemnification to be offered on equal terms. Nothing would require similar risks to receive similar treatment. Nothing would require advanced disclosure to Parliament. Nothing would require public reporting afterward. This is not flexibility. That is state‑authorized market distortion. The political consequences of that structure are enormous. We already have a company operating in this space that has demonstrated financial instability and operational uncertainty. Under Bill C‑28, the same company could benefit enormously if indemnification is loosened or be severely harmed if that protection is tightened or withdrawn. In either case, the impact would be dramatic, but the decision would not be governed by rules set by Parliament. It would be by the politics of the day. If indemnification is loosened, taxpayers could be exposed to substantial and unquantified liability without ever knowing or realizing it. If it is withdrawn, a company could become commercially unviable almost overnight. In both cases, the consequences would be profound, yet the decision would occur behind closed doors. Taxpayers would not know what risks they were carrying. Parliament would not know what exposure it had approved. Only the minister would know. This is not transparency and accountability, and it is not responsible governance in a strategic sector involving public safety, national security and public money. When indemnification decisions are left entirely to ministerial discretion, they inevitably become political decisions. They are influenced by timing, urgency, pressure and optics. None of those is a substitute for law. This bill would effectively ask Parliament to assume that every minister under every political circumstance would exercise his or her power perfectly. History suggests otherwise. Laws exist precisely because judgment is imperfect and politics change. Taxpayers should never bear catastrophic risk as the result of decisions they cannot see, cannot measure and cannot challenge."
gs004,"Mr. Speaker, I rise in the House today to speak about an issue that demands not only our highest attention but also our sustained and collective action: violence against women and girls, and the protection of victims and survivors across Canada. Violence against women is not abstract. It is not rare. It is not confined to headlines or statistics. It is happening in our communities, in our neighbourhoods and too often behind closed doors. It affects women of all ages, backgrounds and regions, including in my riding of of Prescott—Russell—Cumberland. This is why the protecting victims act would represent one of the most significant and necessary updates to Canada's criminal justice system in generations. While broad in scope, the legislation can be clearly understood through four core pillars: first, tackling gender-based and intimate partner violence; second, protecting children from predators; third, strengthening victims' rights; and fourth, addressing court delays and strengthening system integrity. Together, these reforms would modernize the Criminal Code to respond to contemporary threats, intervene earlier to prevent violence and ensure that the justice system works faster, more fairly and more compassionately for victims and survivors. Gender-based violence is rarely an isolated act. It is more of a cycle of control, fear and intimidation. This bill recognizes coercive and controlling behaviour, strengthens offences related to criminal harassment and modernizes the offence of non-consensual distribution of an intimate image to reflect the real harm caused by online sexual violence. It also recognizes the most tragic outcome of this violence by classifying femicide as first-degree murder, sending a clear message. Hate crimes and gender-based crimes will face the full extent of the law."
gs005,"Mr. Speaker, I am so proud to rise today to speak in support of Bill C-13, legislation that would implement the United Kingdom's accession to the Comprehensive and Progressive Agreement for Trans-Pacific Partnership, or the CPTPP. At its core, this debate is about more than a trade agreement. It is about Canada's place in the world. It is about the kind of economy we are building and the opportunities we create for the people we are here to serve. Canada is, and has always been, a trading nation. From the very earliest days of our history, Canadians have looked outward, building relationships, forging partnerships and connecting our ideas, our talent and our resources with the world. Trade is not simply a policy choice for Canada. It is woven into the fabric of who we are and how we grow. In the modern era, Canada has shown extraordinary leadership in building a global network of high-standard trade agreements that open doors for our workers, our farmers, our entrepreneurs and our innovators. The CPTPP is one of the clearest examples of that leadership. When the future of this agreement was uncertain, Canada stepped forward. We worked with partners across the Pacific to preserve the ambition of the agreement and ensure that it remained a modern, high-standard framework for trade in the Indo-Pacific region. Because of that leadership, the CPTPP entered into force in 2018."
gs006,"Bill C-14 would also strengthen sentencing to ensure that penalties reflect the seriousness of repeat and organized crime. It would direct courts to treat as aggravating factors repeat violent offences, crimes against first responders, organized retail theft and fraudulent return schemes, and interference with essential infrastructure. It would also introduce consecutive sentencing for repeat break and enters and violent crime offences, with clear guidance to prioritize deterrence and denunciation for repeat and organized offences. Conditional sentences would be restricted for sexual assault and other sexual offences, particularly those involving victims under the age of 18. The bill would also restore driving prohibitions for manslaughter and criminal negligence causing death or bodily harm, would increase penalties for contempt and would improve fine-enforcement tools by working with provinces and territories. Locally, the Sunshine Coast RCMP, the Sunshine Coast Community Services Society and others play key roles in prevention, early intervention and support for victims and vulnerable individuals. Their work very much complements Bill C-14's goal of accountability by addressing the root causes of repeat offending through mental health supports, domestic violence prevention and community policing initiatives. Bill C-14, importantly, would accomplish all of these measures in compliance with the Charter of Rights and Freedoms. It would maintain judicial discretion and focus on the highest-risk patterns that affect our communities, including repeat violence, serious offences with weapons, organized criminal activity, as well as the repeat property crime that undermines community confidence."
gs007,"The truckers delivering groceries pay more for fuel. The farmers harvesting crops pay more for fuel. The manufacturers shipping goods pay more for fuel. Every added cost lands on the kitchen tables of ordinary Canadian families. That is the real-world consequence of expensive energy. This is not a theoretical economics discussion over a catered lunch in Ottawa. These are real families making painful decisions every single day. The government acts as though lowering fuel taxes would somehow break the economy. When Conservatives are calling for these tax breaks, we were not proposing another complicated subsidy program with more paperwork, more bureaucracy and more consultants billing taxpayers by the hour. We are simply saying that the government should stop taking so much money from Canadians in the first place and let them keep more of what they earn. That is the simplest form of relief possible. The government's job is not to stand at the gas pump with its hand out every time Canadians try to get to work. The Parliamentary Budget Officer said that the Liberals' temporary plan would only save the average household about $124 total. Canadians cannot run a family budget on symbolic gestures. Conservatives are proposing relief that would actually have impact. The Liberals simply do not want to give up the revenue. At the heart of this debate lies a very simple question: Who should keep that money? Should it remain in the pockets of the men and women who rise early, work long hours, drive trucks, build the homes, harvest the crops and keep this country moving, or should more of it flow to Ottawa, where the government has developed an endless appetite for spending but remarkably little interest in restraint?"
gs008,"For many Canadians, streaming is no longer a luxury. It is one of the few affordable forms of entertainment left. The government talks constantly about affordability. The Prime Minister himself campaigned on it, yet here we are: another tax, another cost, another burden placed on the backs of Canadians who are already carrying too much. Let us not pretend that this is the only one. It is the latest, in fact, in a long list of punitive measures from the Liberal government that, together, are squeezing Canadians in every direction. The cumulative weight of all these decisions lands on a family's kitchen table, and they feel it. Now let me turn to the longer-term damage, because this is where it truly gets serious. When we triple the tax on online streaming services, Canada becomes one of the most expensive operating jurisdictions in the entire world for streaming services; not the most expensive in the G7, not among the most expensive in the western world, but among the most expensive on earth. What does that signal to investors? What does that say to a company sitting in a boardroom in Los Angeles, London or Seoul, deciding where to put its next production studio, its next animation facility or its next regional headquarters? It says Canada is expensive. It says Canada is unpredictable. Canada is harder to do business in. I want to give the House a concrete example of exactly what is at stake here, because I think sometimes these debates can feel abstract. Let me make it tangible. Netflix recently opened Netflix Animation Studios in Vancouver. That facility created more than 450 good-paying jobs. It brought significant investment to British Columbia. It put Canadian artists, animators and storytellers to work doing world-class creative work right here at home. That is exactly the kind of investment we should be encouraging. That is exactly the kind of economic activity we should be competing to attract."
gs009,"One of the greatest harms of this motion is not legal, but social. It invites Canadians to fear reconciliation. That is not leadership. Many Canadians were not taught about treaties or unceded land, but a lack of education is not an excuse for the Conservatives' spreading misinformation now. Leadership means explaining complexity, not exploiting it for fundraising opportunities. Let us be serious. We can protect private property. We can advance aboriginal title and rights. We can do both without reopening the Constitution as this motion proposes because, frankly, we do not have time for a constitutional wrangling exercise. Canadians want homes built, projects approved and the economy growing. We can do that right now within our existing constitutional framework. Hope is not a plan and nostalgia is not a strategy. If the Conservatives ever hope to lead, they will need to learn how to work with all Canadians, including indigenous partners. That means quitting the fearmongering, quitting the misinformation, starting to learn and starting to build relationships. They need to recognize that reconciliation and economic growth are not opposites. They are partners when done properly. I will close where I began. To Canadians watching today, they still own their home and they can still renovate it, and our government is fully committed to protecting their property rights. In indigenous treaty or agreement discussions, private property is not on the table. It is not today and it will not be tomorrow. What we are doing is building a stronger, more honest, more stable foundation for coexistence and prosperity. What is on the table is whether this House chooses clarity over chaos, unity over division and serious governance over fear-based politics."
