pattern,ctl_n,ctl_per100k,new_n,new_per100k,ratio_new_over_ctl,ci_separated
underscore-v,0,0.0,12,1.41,inf,False
showcase,1,0.76,27,3.18,4.21,False
stands-serves-as,0,0.0,10,1.18,inf,False
additionally-start,0,0.0,9,1.06,inf,False
foster-v,4,3.02,59,6.96,2.3,False
bolster,0,0.0,8,0.94,inf,False
participle-tail,1,0.76,20,2.36,3.12,False
align-with,3,2.27,39,4.6,2.03,False
testament-to,0,0.0,7,0.83,inf,False
robust,2,1.51,28,3.3,2.18,False
pivotal,0,0.0,6,0.71,inf,False
in-the-heart-of,0,0.0,6,0.71,inf,False
commitment-to,1,0.76,15,1.77,2.34,False
testament,1,0.76,13,1.53,2.03,False
nestled,0,0.0,5,0.59,inf,False
groundbreaking,0,0.0,5,0.59,inf,False
not-only-but,35,26.44,242,28.53,1.08,False
garner,0,0.0,4,0.47,inf,False
renowned,0,0.0,4,0.47,inf,False
em-dash,341,257.64,1566,184.61,0.72,True
meticulous,0,0.0,3,0.35,inf,False
landscape-abstract,0,0.0,3,0.35,inf,False
crucial,7,5.29,32,3.77,0.71,False
boasts,0,0.0,2,0.24,inf,False
deeply-rooted,0,0.0,2,0.24,inf,False
diverse-array,0,0.0,2,0.24,inf,False
natural-beauty,1,0.76,5,0.59,0.78,False
not-just-its,8,6.04,22,2.59,0.43,False
delve,0,0.0,1,0.12,inf,False
intricate,0,0.0,1,0.12,inf,False
interplay,0,0.0,1,0.12,inf,False
setting-the-stage,0,0.0,1,0.12,inf,False
indelible-mark,0,0.0,1,0.12,inf,False
rich-heritage,0,0.0,1,0.12,inf,False
focal-point,1,0.76,2,0.24,0.31,False
vibrant,18,13.6,19,2.24,0.16,True
enduring,17,12.84,11,1.3,0.1,True
resonate-with,1,0.76,1,0.12,0.16,False
tapestry,0,0.0,0,0.0,1.0,False
turning-point,0,0.0,0,0.0,1.0,False
valuable-insights,0,0.0,0,0.0,1.0,False
# control 132,353 words (2019), corpus 848,267 words (2025-26); patterns from Wikipedia:Signs_of_AI_writing (fetched 2026-07-29); em-dash is Hansard-house-style mediated
